,agg_dob_first,agg_dob_second,agg_height_first,agg_height_second,agg_reach_first,agg_reach_second,agg_stand_first,agg_stand_second,agg_str_acc_first,agg_str_acc_second,agg_weight_first,date_card,first_fighter_res,first_sig_str_,first_sig_str_percentage,first_total_str,method,second_sig_str_percentage,second_total_str,time,type
2287,16-Jun-84,7-Jan-89,"5' 8""","5' 8""","69""","68""",Orthodox,Orthodox,41%,54%,155 lbs.,27-Jun-15,W,17 of 33,51%,30 of 49, Decision - Split ,56%,66 of 96,5:00,
2288,21-Feb-88,,"5' 11""",,"76""",,Orthodox,,50%,,170 lbs.,27-Jun-15,W,11 of 33,33%,33 of 60, Decision - Unanimous ,58%,34 of 50,5:00,
2289,11-Nov-85,,"5' 9""",,"72""",,Orthodox,,48%,,155 lbs.,27-Jun-15,W,28 of 48,58%,55 of 76, Decision - Unanimous ,37%,53 of 93,5:00,
2290,19-Dec-90,14-Oct-85,"6' 4""","5' 11""",--,"70""",Southpaw,Southpaw,39%,63%,185 lbs.,27-Jun-15,L,9 of 28,32%,13 of 32, KO/TKO ,52%,12 of 21,2:43,
2291,14-Jun-85,3-Oct-89,"5' 6""","5' 5""","67""",--,Orthodox,Orthodox,28%,41%,125 lbs.,27-Jun-15,L,59 of 184,32%,62 of 188, Decision - Unanimous ,35%,85 of 179,5:00,
2292,18-Aug-87,30-Jan-83,"5' 6""","5' 5""","65""","67""",Orthodox,Orthodox,48%,33%,115 lbs.,20-Jun-15,W,126 of 204,61%,162 of 247, KO/TKO ,28%,28 of 91,4:22,belt fight
2293,13-Jan-79,8-May-78,"5' 6""","5' 7""","70""","69""",Orthodox,Orthodox,32%,44%,145 lbs.,20-Jun-15,L,22 of 60,36%,90 of 137, Decision - Unanimous ,56%,47 of 68,5:00,
2294,24-Apr-84,27-Nov-90,"5' 6""","5' 8""","66""","71""",Southpaw,Orthodox,35%,35%,155 lbs.,20-Jun-15,W,54 of 126,42%,64 of 137, Decision - Unanimous ,30%,37 of 97,5:00,
2295,8-Nov-88,6-Oct-86,"5' 10""","5' 10""","72""","70""",Southpaw,Orthodox,43%,32%,145 lbs.,20-Jun-15,W,0 of 0,0%,0 of 0, Submission ,100%,1 of 1,1:41,
2296,8-Aug-88,19-Jul-83,"5' 9""","5' 11""","73""","74""",Orthodox,Southpaw,39%,40%,155 lbs.,20-Jun-15,W,23 of 43,53%,24 of 44, KO/TKO ,44%,17 of 38,1:30,perf
2297,14-Sep-88,22-Jan-94,"5' 10""","5' 8""",--,"70""",Orthodox,Southpaw,55%,40%,145 lbs.,20-Jun-15,L,35 of 66,53%,85 of 125, Submission ,30%,33 of 86,1:41,perf
2298,22-Aug-89,8-Jun-84,"6' 1""","5' 9""",--,"69""",Orthodox,Orthodox,41%,46%,145 lbs.,20-Jun-15,L,11 of 31,35%,23 of 46, Decision - Majority ,62%,105 of 148,5:00,
2299,20-May-88,21-Jul-88,"6' 3""","5' 10""","75""",--,Southpaw,Orthodox,46%,51%,185 lbs.,20-Jun-15,W,11 of 16,68%,12 of 17, KO/TKO ,52%,13 of 24,2:52,
2300,21-Mar-84,8-Aug-88,"5' 7""","5' 11""","73""","71""",Orthodox,Switch,44%,35%,145 lbs.,30-May-15,NC,5 of 7,71%,12 of 14, Overturned ,38%,13 of 22,3:31,
2301,25-Aug-87,2-Aug-88,"5' 9""","5' 8""","71""","71""",Orthodox,Orthodox,45%,58%,155 lbs.,20-Jun-15,L,29 of 51,56%,99 of 127, TKO - Doctor's Stoppage ,43%,23 of 47,3:24,
2302,24-Apr-84,,"6' 2""",,"75""",,Orthodox,,41%,,185 lbs.,26-May-07,W,0 of 2,0%,0 of 2, Submission ,100%,1 of 1,0:53,
2303,8-Apr-92,7-Oct-89,"5' 6""","5' 10""","73""","71""",Southpaw,Southpaw,45%,41%,135 lbs.,20-Jun-15,W,31 of 60,51%,68 of 99, KO/TKO ,39%,18 of 43,1:26,
2304,28-Jul-82,30-Jul-77,"6' 1""","6' 4""","77""","77""",Orthodox,Orthodox,57%,52%,240 lbs.,13-Jun-15,L,88 of 169,52%,117 of 201, Submission ,55%,101 of 180,2:13,belt perf
2305,12-Apr-82,11-Jan-84,"5' 9""","5' 9""","73""","69""",Orthodox,Orthodox,33%,41%,145 lbs.,13-Jun-15,L,37 of 129,28%,93 of 187, Decision - Split ,48%,43 of 79,5:00,
2306,24-Oct-91,20-Apr-79,"5' 9""","6' 0""","71""","74""",Southpaw,Orthodox,42%,49%,185 lbs.,13-Jun-15,W,59 of 110,53%,126 of 188, KO/TKO ,36%,24 of 57,5:00,
2307,6-Oct-92,24-Aug-86,"5' 11""","5' 9""","71""","69""",Orthodox,Switch,45%,37%,145 lbs.,13-Jun-15,W,56 of 100,56%,97 of 149, Decision - Split ,49%,67 of 117,5:00,fight
2308,16-Aug-89,12-Jan-85,"5' 1""","5' 3""","60""","64""",Orthodox,Orthodox,47%,50%,115 lbs.,13-Jun-15,W,32 of 80,40%,86 of 144, Decision - Unanimous ,39%,66 of 110,5:00,
2309,9-Feb-87,26-Jan-85,"5' 4""","5' 6""","64""","66""",Orthodox,Orthodox,45%,41%,135 lbs.,13-Jun-15,W,62 of 143,43%,133 of 219, Decision - Unanimous ,33%,59 of 157,5:00,
2310,15-Jan-86,19-Oct-88,"5' 9""","5' 8""","71""","70""",Orthodox,Southpaw,44%,40%,155 lbs.,13-Jun-15,W,1 of 1,100%,1 of 1, Submission ,0%,0 of 3,0:54,
2311,2-Sep-89,7-Sep-81,"5' 6""","5' 8""","67""","73""",Orthodox,Orthodox,35%,51%,145 lbs.,13-Jun-15,L,0 of 1,0%,0 of 1, Submission ,50%,2 of 4,0:23,perf
2312,17-Dec-81,28-Jun-89,"5' 9""","5' 10""","70""","72""",Orthodox,Orthodox,42%,38%,155 lbs.,13-Jun-15,L,34 of 74,45%,49 of 90, Decision - Unanimous ,36%,64 of 143,5:00,
2313,25-Oct-84,2-Sep-87,"6' 1""","6' 1""","73""","75""",Orthodox,Orthodox,46%,44%,170 lbs.,13-Jun-15,L,21 of 55,38%,28 of 62, Decision - Unanimous ,41%,45 of 75,5:00,
2314,15-Jun-88,10-Mar-93,"5' 8""","5' 11""","71""","73""",Southpaw,Orthodox,38%,32%,155 lbs.,13-Jun-15,W,60 of 106,56%,97 of 144, Decision - Unanimous ,21%,54 of 184,5:00,
